Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Malaysia,MYS,451555293882.9613,462983601080.42535,505953655727.46265,554589779051.7446,620298655207.8186,691998797062.2351,776015742509.0541,880896574214.3386,978657195944.3318,947980431705.7485,1072219524361.7472,1191963931795.4058,1283055380379.1277,1340793665034.3389,1418465413372.7424,1390684900694.9304
Maldives,MDV,3744085355.2635574,4092936141.8220553,4499614034.179987,5312155603.436343,5954801226.308019,5608521857.636391,7378122171.374622,7850194403.5003395,9537720346.136349,9640013894.003466,9922665926.678125,10978010972.531015,11609225136.311502,12829164195.967342,14533016750.344933,16035534231.354994
Mali,MLI,21350400047.563423,23836337205.74966,24244554421.346836,28460623327.17187,30930004913.89457,34224326869.897808,35488649564.279976,39104772051.12784,43827738026.91311,46219364367.96261,49615604025.42056,54773794592.08856,54729919579.76707,58883974910.73017,63989620235.17957,66587740761.597855
Malta,MLT,15598495264.212803,15959291445.333136,16497770226.672148,19115885696.266777,26192362217.040283,32355110100.70862,37514712695.958305,40033353417.42631,45563958544.986275,23069627425.145054,34184431829.6161,27436037560.033283,24111319751.487373,26065521108.527977,29069465381.32357,32333760267.738377
Marshall Islands,MHL,428861632.87033033,459473263.7389097,473677400.2016781,480470191.2700475,498817352.4023728,532254236.7977595,538776957.4469256,567849591.2554702,548862577.5898659,563648251.9207786,589407607.8796494,604303558.5464833,616079727.1618936,662547727.8501763,676722783.8225315,710553997.1623156
Mauritania,MRT,12103838237.943737,11749563920.170782,12323490898.995323,13464497513.142305,14607743306.270254,16501101676.63989,18899613957.13788,20816685850.278263,22858471510.986553,23274473527.541065,25095921350.35628,27447415441.050766,29936131165.17596,32974164743.995415,32487640439.42888,33300426528.763977
Mauritius,MUS,21211470359.930576,21866990239.092937,23656754014.905273,27262313801.19414,30100681044.28415,31583223749.412457,33823920692.204617,39548065818.71504,44479436320.2989,45264491226.96856,34318835642.522427,53772312002.9756,51305288538.70242,59939019087.103935,44241780655.79278,57776131773.42997
Mexico,MEX,2699212397440.253,2868692857356.5386,2941761047589.7974,2995697103546.0044,3203910647786.653,3422339119100.3403,3765175975359.6245,4027674836423.2246,4250661143860.482,3914795167042.5317,4299455195036.835,4676735268655.46,4992314027852.52,5206216739457.976,5427852551760.838,5295314524676.253
"Micronesia, Fed. Sts.",FSM,744917264.3310566,768196298.6850932,775396326.5425216,799405968.4686137,802689317.6075897,841086578.9284152,852507891.3279436,859783385.9268763,859809133.6813046,929597193.9890263,960399928.5391086,1011144886.8233539,1045436796.6018764,1045259248.477806,1046218723.0207995,1128969996.8622863
Moldova,MDA,13860596964.538418,15048716831.45472,16840393466.412647,18829489979.247868,21531769593.34719,24148803658.033318,26466315187.56312,29312963817.4122,34379560252.22794,32324958394.73402,38051163578.2947,42457923189.43872,45823338690.236404,51972424111.2419,52961471578.220764,50974748635.23597
Monaco,MCO,2654577851.2368875,2673838662.6604557,2919771261.017321,3597233994.0913706,4043709773.1141973,4204816422.2116337,4587002428.278388,5876008093.799066,6503179956.647374,5474582718.596196,5367758608.564555,6088905288.978538,5742951666.345936,6555814444.734378,7070251550.535646,6264966210.453224
Mongolia,MNG,12112115646.924479,12780730234.176685,13780537811.641825,15513713198.380125,17860361140.109184,19661825568.98592,23057981285.138874,26707336825.907112,31416682537.824654,30836116521.10255,37753736007.713715,50281494651.19396,65684524137.53019,74288236346.00713,77398759744.17291,76403924757.76393
Montenegro,MNE,5712843444.953784,6516089159.503805,7055857418.3162985,7956246391.363694,9032754273.67484,9670193586.663603,12801351786.533308,16082720817.764574,18825329065.171524,18820527873.63535,21382237630.788425,23679151242.24883,23438922021.560833,25907642511.639374,25689886718.884827,25697010416.46122
Morocco,MAR,219953977965.39563,230978881248.73248,240021474333.5224,268602380862.32474,296484509220.1132,317338642623.4641,351039253807.76794,381918218873.6996,423732032441.80756,440887932787.95337,455908170031.0282,487850425050.5979,493020369863.3231,525484387213.2305,524344777088.7883,541045266552.30176
Mozambique,MOZ,26948439070.656944,25830899199.30456,26722284822.995247,30245640448.736122,34615744635.80643,37578672417.01041,39385145821.78912,44180138941.714035,50005335030.81755,53874378378.744225,57867508681.07426,66432261744.37806,77890004684.96475,91989222370.68018,100820599805.84709,106541775428.19806
